Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee,Season
2001-08-18,Charlton,Everton,1,2,A,0,0,D,8,12,4,9,15,17,4,4,0,3,0,0,N. S. Barry,2001/02
2001-08-18,Derby,Blackburn,2,1,H,1,0,H,7,14,3,4,14,15,4,10,1,0,0,0,P. A. Durkin,2001/02
2001-08-18,Leeds,Southampton,2,0,H,0,0,D,16,11,6,6,16,24,10,3,1,2,0,1,C. R. Wilkes ,2001/02
2001-08-18,Leicester,Bolton,0,5,A,0,4,A,6,18,1,8,21,17,3,5,4,3,0,0,R. Styles,2001/02
2001-08-18,Liverpool,West Ham,2,1,H,1,1,D,9,3,6,3,13,12,5,3,1,5,0,0,J. T. Winter,2001/02
2001-08-18,Middlesbrough,Arsenal,0,4,A,0,1,A,6,14,2,9,13,19,2,6,2,3,1,1,G. P. Barber,2001/02
2001-08-18,Sunderland,Ipswich,1,0,H,1,0,H,12,10,6,4,22,20,1,1,0,1,0,0,G. Poll,2001/02
2001-08-18,Tottenham,Aston Villa,0,0,D,0,0,D,8,11,2,2,12,17,6,5,3,2,0,0,D. J. Gallagher,2001/02
2001-08-19,Chelsea,Newcastle,1,1,D,1,0,H,13,9,8,3,19,20,12,7,3,4,0,0,A. P. D'Urso ,2001/02
2001-08-19,Man United,Fulham,3,2,H,1,1,D,12,8,6,5,17,19,6,4,0,1,0,0,P. Jones ,2001/02
2001-08-20,Everton,Tottenham,1,1,D,0,1,A,18,7,11,2,15,12,8,0,3,2,0,2,D. R. Elleray ,2001/02
2001-08-21,Arsenal,Leeds,1,2,A,1,1,D,14,5,5,2,28,29,10,2,4,5,0,2,J. T. Winter ,2001/02
2001-08-21,Bolton,Middlesbrough,1,0,H,1,0,H,13,11,3,4,19,16,5,2,1,1,0,0,S. W. Dunn ,2001/02
2001-08-21,Ipswich,Derby,3,1,H,1,0,H,30,2,18,2,21,14,19,2,0,3,0,1,E. K. Wolstenholme ,2001/02
2001-08-22,Blackburn,Man United,2,2,D,0,1,A,12,18,5,7,18,16,3,8,2,1,1,0,A. G. Wiley ,2001/02
2001-08-22,Fulham,Sunderland,2,0,H,0,0,D,13,8,5,3,18,20,8,9,0,2,0,0,B. Knight ,2001/02
2001-08-25,Arsenal,Leicester,4,0,H,2,0,H,20,2,11,0,14,20,9,0,1,4,1,1,A. P. D'Urso ,2001/02
2001-08-25,Blackburn,Tottenham,2,1,H,1,0,H,12,12,7,5,14,11,3,6,1,1,0,0,S. G. Bennett,2001/02
2001-08-25,Everton,Middlesbrough,2,0,H,1,0,H,7,5,5,1,25,23,3,6,2,1,0,0,U. D. Rennie,2001/02
2001-08-25,Fulham,Derby,0,0,D,0,0,D,10,9,1,2,12,14,11,3,2,3,0,0,M. L Dean,2001/02
2001-08-25,Ipswich,Charlton,0,1,A,0,0,D,17,13,11,6,22,20,6,1,2,6,0,0,S. W. Dunn ,2001/02
2001-08-25,Southampton,Chelsea,0,2,A,0,1,A,8,7,2,2,13,18,6,2,0,1,0,0,D. R. Elleray ,2001/02
2001-08-25,West Ham,Leeds,0,0,D,0,0,D,11,10,3,4,19,14,5,8,3,2,0,0,P. A. Durkin ,2001/02
2001-08-26,Aston Villa,Man United,1,1,D,1,0,H,11,13,4,7,9,12,5,5,0,2,0,0,G. P. Barber ,2001/02
2001-08-26,Newcastle,Sunderland,1,1,D,1,1,D,16,6,6,3,19,18,10,4,2,2,0,0,M. A. Riley ,2001/02
2001-08-27,Bolton,Liverpool,2,1,H,1,0,H,11,18,4,7,13,11,4,6,2,2,0,0,G. Poll ,2001/02
2001-09-08,Chelsea,Arsenal,1,1,D,1,1,D,10,14,5,11,20,20,5,6,1,5,1,0,M. A. Riley ,2001/02
2001-09-08,Derby,West Ham,0,0,D,0,0,D,6,10,3,4,22,19,3,4,5,2,0,0,C. R. Wilkes,2001/02
2001-09-08,Leeds,Bolton,0,0,D,0,0,D,11,8,6,4,13,17,7,5,1,1,0,0,S. G. Bennett,2001/02
2001-09-08,Leicester,Ipswich,1,1,D,0,1,A,12,13,7,9,26,24,6,3,3,3,1,1,B. Knight,2001/02
2001-09-08,Liverpool,Aston Villa,1,3,A,0,1,A,12,10,7,7,19,14,7,0,3,1,1,0,A. P. D'Urso,2001/02
2001-09-08,Man United,Everton,4,1,H,2,0,H,18,5,9,1,7,11,6,2,0,1,0,0,D. J. Gallagher,2001/02
2001-09-08,Middlesbrough,Newcastle,1,4,A,1,1,D,8,8,4,5,15,17,3,3,1,3,1,0,G. Poll,2001/02
2001-09-08,Sunderland,Blackburn,1,0,H,0,0,D,11,10,4,4,9,14,4,10,2,3,0,0,M. L Dean,2001/02
2001-09-09,Charlton,Fulham,1,1,D,1,1,D,7,16,4,5,22,12,5,6,2,1,0,0,J. T. Winter,2001/02
2001-09-09,Tottenham,Southampton,2,0,H,0,0,D,18,15,6,6,15,16,3,3,0,0,0,0,A. G. Wiley,2001/02
